inputProb	users	minimumTimeout	GenerationTime	ExecutionTime	NumVariables	NumClauses	initialRoles	initialAss
89	5	1.0	0.0	1.75	0	0	407115	4	23
85	21	1.5	0.0	1.72000000067	0	0	5464862	14	409
81	37	3.0	0.0	5.75999999978	0	0	12574094	19	667
77	53	12.0	0.0	22.5800000001	0	0	30522294	32	972
73	69	40.0	0.0	73.0199999996	0	0	60697857	48	1679
69	85	50.0	0.0	140.600000001	0	0	87866679	57	1842
65	101	80.0	0.0	247.609999999	0	0	126764893	69	2475
61	117	320.0	0.0	961.029999999	0	0	178777831	81	3535
57	133	560.0	0.0	1722.15	0	0	244169305	94	5376
53	149	1600.0	0.0	5009.8	0	0	330445618	110	7607
49	165	2400.0	0.0	6879.42	0	0	370007810	109	7600
45	181	7000.0	0.0	49378.37	0	0	417508548	110	8282
41	197	12000.0	0.0	57367.38	0	0	567793534	129	11201
